event_id,timestamp,receipt_id,sku,event_type,surface,metadata
INT-0000001,2026-01-01T08:51:20,RCPT-20260101-00001,P-0060,view,checkout_upsell,synthetic
INT-0000002,2026-01-01T08:51:20,RCPT-20260101-00001,P-0035,view,checkout_upsell,synthetic
INT-0000003,2026-01-01T08:51:20,RCPT-20260101-00001,P-0035,hover,checkout_upsell,synthetic
INT-0000004,2026-01-01T08:51:20,RCPT-20260101-00001,P-0059,view,checkout_upsell,synthetic
INT-0000005,2026-01-01T08:51:20,RCPT-20260101-00001,P-0059,hover,checkout_upsell,synthetic
INT-0000006,2026-01-01T08:51:20,RCPT-20260101-00001,P-0027,view,checkout_upsell,synthetic
INT-0000007,2026-01-01T08:51:20,RCPT-20260101-00001,P-0027,hover,checkout_upsell,synthetic
INT-0000008,2026-01-01T08:51:20,RCPT-20260101-00001,P-0010,view,checkout_upsell,synthetic
INT-0000009,2026-01-01T08:51:20,RCPT-20260101-00001,P-0010,hover,checkout_upsell,synthetic
INT-0000010,2026-01-01T08:51:20,RCPT-20260101-00001,P-0009,view,checkout_upsell,synthetic
INT-0000011,2026-01-01T08:51:20,RCPT-20260101-00001,P-0009,hover,checkout_upsell,synthetic
INT-0000012,2026-01-01T10:15:47,RCPT-20260101-00002,P-0048,view,checkout_upsell,synthetic
INT-0000013,2026-01-01T10:15:47,RCPT-20260101-00002,P-0060,view,checkout_upsell,synthetic
INT-0000014,2026-01-01T10:15:47,RCPT-20260101-00002,P-0060,hover,checkout_upsell,synthetic
INT-0000015,2026-01-01T10:15:47,RCPT-20260101-00002,P-0010,view,checkout_upsell,synthetic
INT-0000016,2026-01-01T10:15:47,RCPT-20260101-00002,P-0005,view,checkout_upsell,synthetic
INT-0000017,2026-01-01T10:15:47,RCPT-20260101-00002,P-0005,hover,checkout_upsell,synthetic
INT-0000018,2026-01-01T10:15:47,RCPT-20260101-00002,P-0075,view,checkout_upsell,synthetic
INT-0000019,2026-01-01T10:15:47,RCPT-20260101-00002,P-0075,click,checkout_upsell,synthetic
INT-0000020,2026-01-01T10:15:47,RCPT-20260101-00002,P-0052,view,checkout_upsell,synthetic
INT-0000021,2026-01-01T10:15:47,RCPT-20260101-00002,P-0052,hover,checkout_upsell,synthetic
INT-0000022,2026-01-01T10:15:47,RCPT-20260101-00002,P-0052,click,checkout_upsell,synthetic
INT-0000023,2026-01-01T10:40:10,RCPT-20260101-00003,P-0040,view,checkout_upsell,synthetic
INT-0000024,2026-01-01T10:40:10,RCPT-20260101-00003,P-0069,view,checkout_upsell,synthetic
INT-0000025,2026-01-01T10:40:10,RCPT-20260101-00003,P-0069,click,checkout_upsell,synthetic
INT-0000026,2026-01-01T10:40:10,RCPT-20260101-00003,P-0006,view,checkout_upsell,synthetic
INT-0000027,2026-01-01T10:40:10,RCPT-20260101-00003,P-0006,click,checkout_upsell,synthetic
INT-0000028,2026-01-01T10:40:10,RCPT-20260101-00003,P-0003,view,checkout_upsell,synthetic
INT-0000029,2026-01-01T10:40:10,RCPT-20260101-00003,P-0046,view,checkout_upsell,synthetic
