transaction_id,receipt_id,timestamp,scenario,customer_segment,channel,payment_method,subtotal,discount,tax,shipping,total,item_count,currency,receipt_image_path,receipt_text_hint
TX-RCPT-20260101-00001,RCPT-20260101-00001,2026-01-01T08:51:20,new_year_refresh,gamer,mobile_app,card,118.00,0.00,11.80,0.00,129.80,2,USD,receipts/RCPT-20260101-00001.png,new year refresh bundle purchase
TX-RCPT-20260101-00002,RCPT-20260101-00002,2026-01-01T10:15:47,new_year_refresh,small_business,in_store_pickup,google_pay,3166.00,158.30,300.77,0.00,3308.47,4,USD,receipts/RCPT-20260101-00002.png,new year refresh bundle purchase
TX-RCPT-20260101-00003,RCPT-20260101-00003,2026-01-01T10:40:10,new_year_refresh,gamer,in_store_pickup,card,2976.00,0.00,297.60,0.00,3273.60,4,USD,receipts/RCPT-20260101-00003.png,new year refresh bundle purchase
TX-RCPT-20260101-00004,RCPT-20260101-00004,2026-01-01T20:17:49,new_year_refresh,family,web,google_pay,177.00,0.00,17.70,15.99,210.69,3,USD,receipts/RCPT-20260101-00004.png,new year refresh bundle purchase
TX-RCPT-20260101-00005,RCPT-20260101-00005,2026-01-01T21:40:19,new_year_refresh,small_business,in_store_pickup,apple_pay,79.00,2.37,7.66,7.99,92.28,1,USD,receipts/RCPT-20260101-00005.png,new year refresh bundle purchase
TX-RCPT-20260101-00006,RCPT-20260101-00006,2026-01-01T22:23:56,new_year_refresh,family,web,card,236.00,11.80,22.42,7.99,254.61,4,USD,receipts/RCPT-20260101-00006.png,new year refresh bundle purchase
TX-RCPT-20260101-00007,RCPT-20260101-00007,2026-01-01T10:42:30,new_year_refresh,small_business,web,google_pay,3391.00,101.73,328.93,0.00,3618.20,4,USD,receipts/RCPT-20260101-00007.png,new year refresh bundle purchase
TX-RCPT-20260101-00008,RCPT-20260101-00008,2026-01-01T18:41:23,new_year_refresh,gamer,in_store_pickup,paypal,1999.00,199.90,179.91,0.00,1979.01,1,USD,receipts/RCPT-20260101-00008.png,new year refresh bundle purchase
TX-RCPT-20260101-00009,RCPT-20260101-00009,2026-01-01T09:45:40,new_year_refresh,student,web,card,79.00,2.37,7.66,7.99,92.28,1,USD,receipts/RCPT-20260101-00009.png,new year refresh bundle purchase
TX-RCPT-20260101-00010,RCPT-20260101-00010,2026-01-01T11:50:30,new_year_refresh,gamer,web,card,2277.00,227.70,204.93,0.00,2254.23,3,USD,receipts/RCPT-20260101-00010.png,new year refresh bundle purchase
TX-RCPT-20260101-00011,RCPT-20260101-00011,2026-01-01T08:25:46,new_year_refresh,family,web,apple_pay,2426.00,0.00,242.60,0.00,2668.60,4,USD,receipts/RCPT-20260101-00011.png,new year refresh bundle purchase
TX-RCPT-20260102-00012,RCPT-20260102-00012,2026-01-02T15:51:55,new_year_refresh,small_business,web,card,1228.00,0.00,122.80,0.00,1350.80,2,USD,receipts/RCPT-20260102-00012.png,new year refresh bundle purchase
TX-RCPT-20260102-00013,RCPT-20260102-00013,2026-01-02T15:30:13,new_year_refresh,gamer,web,apple_pay,1919.00,191.90,172.71,0.00,1899.81,1,USD,receipts/RCPT-20260102-00013.png,new year refresh bundle purchase
TX-RCPT-20260102-00014,RCPT-20260102-00014,2026-01-02T12:13:03,new_year_refresh,small_business,in_store_pickup,bank_transfer,59.00,5.90,5.31,0.00,58.41,1,USD,receipts/RCPT-20260102-00014.png,new year refresh bundle purchase
TX-RCPT-20260102-00015,RCPT-20260102-00015,2026-01-02T14:07:56,new_year_refresh,small_business,web,bank_transfer,926.95,0.00,92.70,7.99,1027.64,4,USD,receipts/RCPT-20260102-00015.png,new year refresh bundle purchase
TX-RCPT-20260102-00016,RCPT-20260102-00016,2026-01-02T18:45:20,new_year_refresh,professional,mobile_app,paypal,1267.00,38.01,122.90,0.00,1351.89,3,USD,receipts/RCPT-20260102-00016.png,new year refresh bundle purchase
TX-RCPT-20260102-00017,RCPT-20260102-00017,2026-01-02T10:59:22,new_year_refresh,student,web,google_pay,2125.90,106.30,201.96,0.00,2221.56,6,USD,receipts/RCPT-20260102-00017.png,new year refresh bundle purchase
TX-RCPT-20260102-00018,RCPT-20260102-00018,2026-01-02T12:59:42,new_year_refresh,student,web,google_pay,59.00,0.00,5.90,15.99,80.89,1,USD,receipts/RCPT-20260102-00018.png,new year refresh bundle purchase
TX-RCPT-20260102-00019,RCPT-20260102-00019,2026-01-02T17:13:45,new_year_refresh,family,web,google_pay,3298.00,164.90,313.31,0.00,3446.41,2,USD,receipts/RCPT-20260102-00019.png,new year refresh bundle purchase
TX-RCPT-20260103-00020,RCPT-20260103-00020,2026-01-03T08:21:49,new_year_refresh,professional,in_store_pickup,google_pay,3326.00,0.00,332.60,0.00,3658.60,3,USD,receipts/RCPT-20260103-00020.png,new year refresh bundle purchase
