path,git_status,classification,proposed_action,bytes,modified_utc,sha256,deletion_authorized
admin-3001-market-intel-audit.png,??,visual_evidence,review_for_curated_archive,763266,1785238606,9bf47278b4e418ddff0c490b25205294b760b271541d952d01de5903ef45d992,false
digital-twin-five-turn-research-trace-2026-08-06.png,??,visual_evidence,review_for_curated_archive,125159,1786016888,c7c1c66b5f6c645af98f3d777e8979a33f0be5b602cfe99f1ac30aaf587fb67c,false
docs/2026-08-08 laptop-products-aug.txt,??,project_document,review_for_documentation_commit_or_external_archive,73541,1786179255,fbac205d2b43487bad44a76933cce197b8cf313bb4d0e4f616005909af12ea57,false
docs/SHOPSQUIRE_AMBIGUOUS_PROCUREMENT_EXECUTION_STATUS_2026-08-08.md,??,project_document,review_for_documentation_commit_or_external_archive,7892,1786182533,de8f18232b523657f6d6e2c077880ba2a26794a7b7b360ea5bbc4ae23b861430,false
docs/SHOPSQUIRE_CACHERAG_AND_TEMPORAL_ASSESSMENT_2026-08-02.md,??,project_document,review_for_documentation_commit_or_external_archive,15594,1785674640,8e37ab1ca7b84ac2370bd260d70038d5a4df8e59500aede188c17e9202d1b3d9,false
docs/SHOPSQUIRE_CART_EXPLAIN_UX_ASSESSMENT_2026-08-08.md,??,project_document,review_for_documentation_commit_or_external_archive,21360,1786157333,9be56c1a9320d5f5f0e365214bcbb5fb0bba2f8cbc352a6afba8e99a5d61a939,false
docs/SHOPSQUIRE_CART_EXPLAIN_UX_RESOLUTION_2026-08-08.md,??,project_document,review_for_documentation_commit_or_external_archive,6392,1786159737,4ebb6eccf5901e5b54604dde15247a08a462fce15291a1eb3fc61a7420c385f4,false
docs/SHOPSQUIRE_CRM_LANDSCAPE_AND_ADJACENCY_2026-07-28.md,??,project_document,review_for_documentation_commit_or_external_archive,24288,1785206698,0b3d731273faf1c9543c07b06142d4b9d481dfbe5e715f72d835bf14e8019934,false
docs/SHOPSQUIRE_DAVID_FEEDBACK_RESPONSE_AND_VIDEO_PLAN_2026-07-30.md,??,project_document,review_for_documentation_commit_or_external_archive,12483,1785350255,da840d3bbb21b87632944abd94b96f9dfd5b179011492210e9f45c77172aecee,false
docs/SHOPSQUIRE_DELTA_AND_CANONICAL_SEMANTICS_2026-07-28.md,??,project_document,review_for_documentation_commit_or_external_archive,40639,1785215039,bf6401e30eeb14879c0a424a79c18a49fc72e0e57f1de1112d1be3b673c26aaf,false
docs/SHOPSQUIRE_DELTA_COMPETITIVE_AND_SHOWCASE_2026-08-02.md,??,project_document,review_for_documentation_commit_or_external_archive,17196,1785625930,435e4f6bebf01332c8d7cb2e304144af1d39eb5a70420fa6477fd547f20383dd,false
